Grécia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;670;1450;18110;137867;11034;78819;52474;190076;42449;196361;82207;414329;68966;323206;13241;71175;24244;107195;55680;190185;6568;18637;40775;139486;41601;135185;21251;70881;61181;219292;13619;55228;45440;148515
Hong Kong;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;2776;0;0;0;0
Hungria;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13391;39649;10967;26900;10858;53615;10530;54542;14600;82552;15981;90021;12632;87626;15193;160961;15073;256240;10404;168862;10911;140198;18733;114610;5117;74688;8315;58756;23813;168353;23742;113405;34591;146500;5254;25250;20174;160816;29260;160168
Indonésia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;36;210;258;1464;0;0;0;0;0;0
Irlanda;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;107;954;179;1705;0;0;0;0;0;0
Israel;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13250;27398;8694;41161;8924;36534;15782;93252;16382;68676;8439;47579;24622;97645;7734;40372;19028;55248;12548;44277;37302;120463;40354;182017;52237;182602;38239;224349;60281;298732;19589;82489
Itália;VINHOS DE MESA;58802;32376;108409;56377;142196;96943;258754;186334;305763;278089;250541;244731;304377;276633;348461;349392;250535;268114;407274;562726;217226;283635;178772;222760;284440;322430;266333;308260;132321;141201;327976;385365;430029;601494;306950;467597;410419;703116;750290;1341632;497616;1284638;566035;1331248;540439;1307032;1333424;2404136;2745848;5058009;3859353;7542440;3771901;8178592;5203832;11182645;5481659;12837955;6187860;14604418;8261193;16364713;8113437;15592191;5878763;11408242;5237027;10545425;6190395;12223247;6010760;11300501;7983641;17018760;9177932;22023175;9723292;24378627;8387908;23079424;11911190;28683242;12025827;35481781;10506144;30750897;8308831;30799292;8566756;31697736;8261383;25846195;7936409;22216811;11538990;33707111;10154564;34857594;10323254;33355982;9659999;32477890;11231625;39852162;9622119;33330465
Japão;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;1429;0;0;0;0;0;0
Iugoslávia;VINHOS DE MESA;702;326;640;375;1824;1137;1251;813;2520;1804;7969;5128;2100;1870;1764;1570;1764;1630;2100;2050;0;0;0;0;1350;1650;0;0;0;0;14238;11619;0;0;17835;14390;20160;17700;17100;19150;38640;44100;25650;31825;25596;31968;8550;10500;25920;36000;51840;81408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Líbano;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1116;8013;662;2726;1431;12774;5121;10605;6768;25265;10270;47054;5310;34971;15741;123283;17685;137954;5805;47826;6588;75810;47610;270145;6480;56196;10665;71374;12737;93480;19742;150044;21836;167358;12384;45908;24194;78872;30149;182548
Luxemburgo;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;5;42;0;0;0;0;0;0;0;0
Macedônia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;497;0;0;0;0;0;0;0;0;1323;874;0;0;0;0;0;0
Marrocos;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;3851;0;0;0;0;1755;15082;0;0;0;0;0;0;2250;16816;2160;8326;986;6958;13932;46497
México;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7004;63663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;804;646;3927;33;181;4;19;0;0
Moldávia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5832;8965;25998;66480;38336;70282
Montenegro;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1701;5440;0;0;0;0;0;0
Noruega;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396;253;5;27;0;0;0;0;0;0;0;0;0;0
Nova Zelândia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21139;153081;11774;107273;31291;224441;31825;254987;47220;417276;58408;536625;30806;302244;102683;947043;151194;1267863;81611;790355;90728;840521;106251;843533;117340;950751;50177;361030;31379;248412;130854;686193;133179;776830;15372;89763;21995;137547;52265;403597
